,운전 누적 시간,현재 상태,1-수소공급량,2-수소공급량,1-산소공급량,2-산소공급량,1-버너회전수,2-버너회전수,1-버너속도,2-버너속도,1-핀치횟수,2-핀치횟수,핀치두께-상,핀치두께-중,핀치두께-하,핀치두께2-상,핀치두께2-중,핀치두께2-하,전극간격,채널,전압(1차),전류(1차),역률(1차),전력(1차),온도(1차),전압(2차),전류(2차),역률(2차),전력(2차),온도(2차),강도,"Pinch No.1
정면부 측정 편차","Pinch No.2
정면부 측정 편차","Pinch No.1
측면부 측정 편차","Pinch No.2
측면부 측정 편차"
24,68905,0,98.346,99.675,79.74,90.372,25.250999999999998,22.593,53.16,53.16,3741.1349999999998,3745.122,4.63821,4.47873,4.61163,4.63821,4.5186,4.70466,444.27141,2.0,520.11744,46.18275,131.8368,30.859379999999998,14.619,639.54138,11.28321,132.20892,4.797689999999999,132.9,477.111,0.0,0.0,0.0,0.0
25,41284,1,98.346,99.675,79.74,90.372,25.250999999999998,22.593,53.16,53.16,3742.464,3746.451,4.73124,4.571759999999999,4.75782,4.47873,4.47873,4.545179999999999,443.76639,3.0,520.11744,46.18275,131.8368,30.859379999999998,14.619,623.34087,11.40282,131.81022000000002,4.691369999999999,132.9,442.55699999999996,0.0,0.0,0.0,0.0
26,46470,1,98.346,99.675,79.74,90.372,25.250999999999998,22.593,53.16,53.16,3743.7929999999997,3747.7799999999997,4.691369999999999,4.55847,4.67808,4.545179999999999,4.50531,4.63821,444.08534999999995,4.0,520.11744,46.18275,131.8368,30.859379999999998,14.619,644.95041,11.62875,132.20892,4.95717,132.9,528.942,0.0,0.0,0.0,0.0
27,38982,1,98.346,99.675,79.74,90.372,25.250999999999998,22.593,53.16,53.16,3745.122,3749.109,4.717949999999999,4.53189,4.717949999999999,4.63821,4.5186,4.70466,443.73981,5.0,520.11744,46.18275,131.8368,30.859379999999998,14.619,638.63766,11.4294,132.44814,4.850849999999999,132.9,550.206,0.0,0.0,0.0,0.0
28,18102,1,98.346,99.675,79.74,90.372,25.250999999999998,22.593,53.16,53.16,3746.451,3750.438,4.63821,4.50531,4.66479,4.66479,4.598339999999999,4.717949999999999,443.64678,6.0,520.11744,46.18275,131.8368,30.859379999999998,14.619,639.15597,11.46927,132.47472000000002,4.86414,132.9,539.574,0.0,0.0,0.0,0.0
29,30471,1,98.346,99.675,79.74,90.372,25.250999999999998,22.593,53.16,53.16,11.961,11.961,4.67808,4.58505,4.691369999999999,4.47873,4.41228,4.571759999999999,444.76314,3.0,510.28283999999996,47.059889999999996,131.95641,30.91254,14.619,645.66807,11.230049999999999,132.30195,4.83756,120.939,473.12399999999997,0.0,0.0,0.0,0.0
30,37294,1,98.346,99.675,79.74,90.372,25.250999999999998,22.593,53.16,53.16,13.29,13.29,4.797689999999999,4.66479,4.73124,4.58505,4.46544,4.6514999999999995,444.47076,4.0,510.28283999999996,47.059889999999996,131.95641,30.91254,14.619,646.3192799999999,11.442689999999999,132.59432999999999,4.93059,120.939,552.864,0.0,0.0,0.0,0.0
31,71091,0,98.346,99.675,79.74,90.372,25.250999999999998,22.593,53.16,53.16,14.619,14.619,4.66479,4.58505,4.717949999999999,4.55847,4.46544,4.6249199999999995,445.40106,5.0,510.28283999999996,47.059889999999996,131.95641,30.91254,14.619,644.71119,11.376240000000001,132.6342,4.8774299999999995,120.939,548.877,0.0,0.0,0.0,0.0
32,39625,1,98.346,99.675,79.74,90.372,25.250999999999998,22.593,53.16,53.16,15.948,15.948,4.67808,4.58505,4.691369999999999,4.6514999999999995,4.571759999999999,4.70466,444.07205999999996,6.0,510.28283999999996,47.059889999999996,131.95641,30.91254,14.619,635.55438,11.40282,132.64749,4.824269999999999,120.939,547.548,0.0,0.0,0.0,0.0
33,18488,1,98.346,99.675,79.74,90.372,25.250999999999998,22.593,53.16,53.16,3747.7799999999997,3751.767,4.63821,4.50531,4.6514999999999995,4.61163,4.58505,4.691369999999999,443.76639,1.0,520.19718,46.43525999999999,131.95641,31.07202,15.948,639.47493,11.41611,132.42156,4.86414,132.9,487.743,0.0,0.0,0.0,0.0
34,44052,1,98.346,99.675,79.74,90.372,25.250999999999998,22.593,53.16,53.16,3749.109,3753.096,4.75782,4.545179999999999,4.744529999999999,4.61163,4.5186,4.66479,444.33786,2.0,520.19718,46.43525999999999,131.95641,31.07202,15.948,645.38898,11.26992,132.2355,4.83756,132.9,486.414,0.0,0.0,0.0,0.0
